text,intents,slots
"I made a transfer to adrien balcom I think 7 days ago, but I don't see it anywhere","['transfer_payment_deposit', 'wrong_notworking_notshowing']","{'date': {'value': '7 days ago', 'span': [43, 53], 'norm_value': {'day': 8, 'month': 3, 'year': 2022}}, 'person_name': {'value': 'adrien balcom', 'span': [21, 34], 'norm_value': 'adrien balcom'}}"
it seems that electricity is down,['wrong_notworking_notshowing'],
How should I set up direct debit?,"['make_open_apply_setup_get_activate', 'direct_debit', 'how']",
can i get my money back for cancelled flights from last year?,"['refund', 'request_info', 'make_open_apply_setup_get_activate']","{'date_period': {'value': 'last year', 'span': [51, 60], 'norm_values': {'type': 'absolute', 'from': {'day': 1, 'month': 1, 'year': 2021}, 'to': {'day': 31, 'month': 12, 'year': 2021}}}}"
It is not a debit card,"['debit', 'deny', 'card']",
Will my payment be used for the top up?,"['transfer_payment_deposit', 'request_info']",
when will my balance be updated after i deposit a cheque?,"['cheque', 'balance', 'when', 'transfer_payment_deposit']",
please delay that payment at least until 23rd December,"['transfer_payment_deposit', 'make_open_apply_setup_get_activate']","{'date_to': {'value': '23rd December', 'span': [41, 54], 'norm_value': {'day': 23, 'month': 12, 'year': 2022}}}"
How's the 3rd?,['request_info'],"{'date': {'value': '3rd', 'span': [10, 13], 'norm_value': {'day': 3, 'month': 4, 'year': 2022}}}"
can i leave my car on the parking overnight,"['request_info', 'parking']","{'time_period': {'value': 'overnight', 'span': [34, 43], 'norm_values': {'type': 'absolute', 'from': {'hour': 18, 'minute': 0}, 'to': {'hour': 6, 'minute': 0}}}}"
It was reverted,['wrong_notworking_notshowing'],
It's not that,['deny'],
Did I spend less than usual amount this week in hyatt gift?,"['request_info', 'less_lower_before', 'transfer_payment_deposit']","{'date_period': {'value': 'this week', 'span': [35, 44], 'norm_values': {'type': 'absolute', 'from': {'day': 14, 'month': 3, 'year': 2022}, 'to': {'day': 20, 'month': 3, 'year': 2022}}}, 'company_name': {'value': 'hyatt gift', 'span': [48, 58], 'norm_value': 'hyatt gift'}}"
"Two nights, Friday to Sunday, for two adults and two children.",,"{'date_period': {'value': 'Two nights', 'span': [0, 10], 'norm_values': {'type': 'relative', 'days': 2}}, 'date_from': {'value': 'Friday', 'span': [12, 18], 'norm_value': {'day': 18, 'month': 3, 'year': 2022}}, 'date_to': {'value': 'Sunday', 'span': [22, 28], 'norm_value': {'day': 20, 'month': 3, 'year': 2022}}, 'kids': {'value': 'two', 'span': [49, 52], 'norm_value': 2}, 'adults': {'value': 'two', 'span': [34, 37], 'norm_value': 2}}"
my new debit card has arrived much later than what you told me.,"['debit', 'card', 'more_higher_after', 'arrival', 'new']",
oh really? Has the price of bars and restaurants gone up this week?,"['request_info', 'more_higher_after', 'acknowledge']","{'date_period': {'value': 'this week', 'span': [57, 66], 'norm_values': {'type': 'absolute', 'from': {'day': 14, 'month': 3, 'year': 2022}, 'to': {'day': 20, 'month': 3, 'year': 2022}}}, 'shopping_category': {'value': 'bars and restaurants', 'span': [28, 48], 'norm_value': 'bars and restaurants'}}"
This booking is for my nephew only.,['booking'],"{'people': {'value': 'my nephew', 'span': [20, 29], 'norm_value': 1}}"
what is the maximum i can get? i would need like 90€,"['limits', 'request_info', 'more_higher_after']","{'amount_of_money': {'value': '90€', 'span': [49, 52], 'norm_value': {'amount': 90.0, 'currency': 'EUR'}}}"
can i get more than 2000 dollars from an ATM?,"['more_higher_after', 'withdrawal', 'request_info']","{'amount_of_money': {'value': '2000 dollars', 'span': [20, 32], 'norm_value': {'amount': 2000.0, 'currency': 'USD'}}}"
what do i need to do to transfer $2000 to a bank overseas,"['how', 'transfer_payment_deposit', 'make_open_apply_setup_get_activate', 'international']","{'amount_of_money': {'value': '$2000', 'span': [33, 38], 'norm_value': {'amount': 2000.0, 'currency': 'USD'}}}"
Send that 41.55£ reimbursement to my debit card.,"['debit', 'refund', 'make_open_apply_setup_get_activate', 'card']","{'amount_of_money': {'value': '41.55£', 'span': [10, 16], 'norm_value': {'amount': 41.55, 'currency': 'GBP'}}}"
only the one,,"{'number': {'value': 'one', 'span': [9, 12], 'norm_value': 1}}"
"yes, I am really not sure which address is connected to that credit card.","['dont_know', 'credit', 'card', 'affirm']",
One more time please,['repeat'],
what's the interest rate difference between loan and mortgage? I need around 15724 pounds,"['mortgage', 'loan', 'fees_interests', 'request_info']","{'amount_of_money': {'value': '15724 pounds', 'span': [77, 89], 'norm_value': {'amount': 15724.0, 'currency': 'GBP'}}}"
It was contactless,['contactless'],
should i do the transfer by card?,"['transfer_payment_deposit', 'card', 'request_info']",
What are my additional expenses on tax since November,"['how_much', 'transfer_payment_deposit']","{'date_from': {'value': 'November', 'span': [45, 53], 'norm_value': {'day': 1, 'month': 11, 'year': 2022}}, 'shopping_category': {'value': 'tax', 'span': [35, 38], 'norm_value': 'tax'}}"
i already have a savings account,"['savings', 'account', 'existing']",
I already told you there isn't any active standing order. Can I speak with someone else please?,"['deny', 'standing_order', 'handoff']",
checking out the 17th around 10 past 1 afternoon,,"{'date_to': {'value': '17th', 'span': [17, 21], 'norm_value': {'day': 17, 'month': 3, 'year': 2022}}, 'time_to': {'value': '10 past 1 afternoon', 'span': [29, 48], 'norm_value': {'hour': 13, 'minute': 10}}}"
arrive in 9 days until that Wednesday,,"{'date_from': {'value': 'in 9 days', 'span': [7, 16], 'norm_value': {'day': 24, 'month': 3, 'year': 2022}}, 'date_to': {'value': 'that Wednesday', 'span': [23, 37], 'norm_value': {'day': 30, 'month': 3, 'year': 2022}}}"
can I set the transfer limit for good?,"['transfer_payment_deposit', 'limits', 'change']",
existing booking,"['existing', 'booking']",
"I want something else, but I'd rather talk to a real person about it",['handoff'],
"No, that transaction was supposed to go to tamella instead.","['transfer_payment_deposit', 'deny']","{'person_name': {'value': 'tamella', 'span': [43, 50], 'norm_value': 'tamella'}}"
Can I get a room for 5 people for 7 nights from May 26,"['booking', 'make_open_apply_setup_get_activate']","{'date_period': {'value': '7 nights', 'span': [34, 42], 'norm_values': {'type': 'relative', 'days': 7}}, 'date_from': {'value': 'May 26', 'span': [48, 54], 'norm_value': {'day': 26, 'month': 5, 'year': 2022}}, 'people': {'value': '5', 'span': [21, 22], 'norm_value': 5}, 'rooms': {'value': 'a room', 'span': [10, 16], 'norm_value': 1}}"
"That's all, thanks.","['end_call', 'thank']",
top it up please,"['make_open_apply_setup_get_activate', 'transfer_payment_deposit']",
"That's right, I'd like to change it and check in 2 days at 0:10.","['acknowledge', 'change', 'check_in']","{'time': {'value': '0:10', 'span': [59, 63], 'norm_value': {'hour': 0, 'minute': 10}}, 'date': {'value': 'in 2 days', 'span': [46, 55], 'norm_value': {'day': 17, 'month': 3, 'year': 2022}}}"
no,['deny'],
How can I do that?,['how'],
I havent checked it for the last 12 hours,['deny'],"{'time_period': {'value': 'last 12 hours', 'span': [28, 41], 'norm_values': {'type': 'absolute', 'from': {'hour': 21, 'minute': 0}, 'to': {'hour': 9, 'minute': 0}}}}"
it was changed back,['wrong_notworking_notshowing'],
can I book a slot to do my hair at 6 20 in the evening?,"['make_open_apply_setup_get_activate', 'booking', 'spa']","{'time': {'value': '6 20 in the evening', 'span': [35, 54], 'norm_value': {'hour': 18, 'minute': 20}}}"
what is the latest i can check in,"['request_info', 'check_in', 'when', 'limits']",
"thats all, thanks","['thank', 'end_call']",
what about the 7th December?,['request_info'],"{'date': {'value': '7th December', 'span': [15, 27], 'norm_value': {'day': 7, 'month': 12, 'year': 2022}}}"
i have an issue with my card,"['card', 'wrong_notworking_notshowing']",
I want something else,,
The contactless is not working,"['wrong_notworking_notshowing', 'contactless']",
sometime after 5,['more_higher_after'],"{'time': {'value': '5', 'span': [15, 16], 'norm_value': {'hour': 5, 'minute': 0}}}"
